scheme_id,scheme_name,duration,nav,change,date
39613,DSP Nifty 50 Index FundLarge Cap Index,4 yrs 5 m,₹24.32,-0.12%,2025-05-16
15850,HSBC Equity Savings FundEquity Savings,4 yrs 10 m,₹35.91,0.18%,2025-05-16
16213,Sundaram ELSS Tax Saver FundELSS,4 yrs 1 m,₹532.77,0.15%,2025-05-16
37837,UTI Equity Savings FundEquity Savings,5 yrs 1 m,₹19.33,-0.07%,2025-05-16
35595,DSP Arbitrage FundArbitrage,-,₹15.5,-0.03%,2025-05-16
15727,HDFC ELSS Tax Saver FundELSS,2 yrs 10 m,"₹1,503.7",-0.03%,2025-05-16
16936,Quant Flexi Cap FundFlexi Cap,2 yrs 10 m,₹108.38,0.85%,2025-05-16
16042,Bandhan Dynamic Bond FundDynamic Bond,8 yrs 9 m,₹38.39,0.17%,2025-05-16
16932,Quant Focused FundFocused,4 yrs 1 m,₹93.8,0.35%,2025-05-16
15352,Baroda BNP Paribas Short Duration FundShort Duration,9 yrs 2 m,₹31.64,0.18%,2025-05-16
15497,Aditya Birla Sun Life Short Term FundShort Duration,8 yrs 11 m,₹51.27,0.13%,2025-05-16
16955,ICICI Prudential Equity Arbitrage FundArbitrage,10 yrs 10 m,₹36.46,-0.04%,2025-05-16
15526,ICICI Prudential Nifty 50 Index FundLarge Cap Index,4 yrs 5 m,₹260.73,-0.12%,2025-05-16
16596,HSBC Global Emerging Markets FundInternational,8 yrs 10 m,₹22.38,-0.26%,2025-05-16
33122,Mahindra Manulife Liquid FundLiquid,-,"₹1,704.31",0.02%,2025-05-18
39309,Tata Ultra Short Term FundUltra Short Duration,-,₹14.77,0.03%,2025-05-16
15587,Franklin India Equity Hybrid FundAggressive Hybrid,4 yrs 4 m,₹306.69,0.2%,2025-05-16
15319,Axis Short Duration FundShort Duration,9 yrs 1 m,₹33.59,0.13%,2025-05-16
25791,ICICI Prudential Dividend Yield Equity FundDividend Yield,2 yrs 9 m,₹57.53,0.21%,2025-05-16
33107,Bank of India Mid & Small Cap Equity & Debt FundAggressive Hybrid,3 yrs 11 m,₹40.78,0.94%,2025-05-16
16059,LIC MF Gold ETF FoFGold/ Precious Metals,4 yrs 1 m,₹25.85,1.35%,2025-05-16
38922,LIC MF Dividend Yield FundDividend Yield,2 yrs 10 m,₹32.62,0.62%,2025-05-16
22957,Edelweiss Europe Dynamic Equity Offshore FundInternational,4 yrs 6 m,₹25.34,0.57%,2025-05-16
15290,UTI ELSS Tax Saver FundELSS,4 yrs 4 m,₹228.03,0.36%,2025-05-16
16918,Quant Multi Asset FundMulti Asset Allocation,2 yrs 10 m,₹147.95,0.93%,2025-05-16
30851,Tata India Pharma & HealthCare FundSectoral-Pharma,2 yrs 10 m,₹34.31,-0.11%,2025-05-16
40717,Motilal Oswal Nifty 500 Index FundMulti Cap Index,4 yrs 3 m,₹26.38,0.39%,2025-05-16
15692,Sundaram Mid Cap FundMid Cap,2 yrs 9 m,"₹1,452.9",0.69%,2025-05-16
16803,Sundaram Corporate Bond FundCorporate Bond,9 yrs 2 m,₹41.45,0.12%,2025-05-16
16940,Quant ELSS Tax Saver FundELSS,3 yrs 11 m,₹399.82,0.94%,2025-05-16
40575,Kotak Focused Equity FundFocused,4 yrs 3 m,₹26.77,0.06%,2025-05-16
16132,Edelweiss Large & Mid Cap FundLarge & MidCap,3 yrs 11 m,₹99.17,0.41%,2025-05-16
30817,Mirae Asset ELSS Tax Saver FundELSS,4 yrs,₹53.73,0.28%,2025-05-16
16382,Sundaram Equity Savings FundEquity Savings,5 yrs,₹80.6,0.06%,2025-05-16
17082,SBI Technology Opportunities FundSectoral-Technology,4 yrs,₹239.77,-0.65%,2025-05-16
34958,Axis Balanced Advantage FundDynamic Asset Allocation,4 yrs 7 m,₹23.24,0.13%,2025-05-16
38017,Axis Ultra Short Duration FundUltra Short Duration,-,₹15.49,0.04%,2025-05-16
15456,Aditya Birla Sun Life ELSS Tax Saver FundELSS,4 yrs 9 m,₹65.33,0.26%,2025-05-16
16205,Sundaram Balanced Advantage FundDynamic Asset Allocation,4 yrs 10 m,₹40.94,0.01%,2025-05-16
39125,WhiteOak Capital Liquid FundLiquid,-,"₹1,402.47",0.03%,2025-05-18
15613,HDFC Gilt FundGilt,9 yrs 2 m,₹59.06,0.17%,2025-05-16
15389,ICICI Prudential Value Discovery FundValue Oriented,2 yrs 10 m,₹508.76,0.12%,2025-05-16
15999,Union ELSS Tax Saver FundELSS,4 yrs,₹68.33,0.22%,2025-05-16
15327,Axis Treasury Advantage FundLow Duration,9 yrs 9 m,"₹3,219.36",0.07%,2025-05-16
22836,Invesco India - Invesco Pan European Equity FoFInternational,4 yrs 6 m,₹20.13,0.74%,2025-05-16
16748,SBI Overnight FundOvernight,11 yrs 8 m,"₹4,185.17",0.02%,2025-05-18
15847,HSBC Midcap FundMid Cap,2 yrs 10 m,₹418.05,0.64%,2025-05-16
40652,Edelweiss Overnight FundOvernight,-,"₹1,331.57",0.02%,2025-05-18
30855,Tata Banking and Financial Services FundSectoral-Banking,2 yrs 10 m,₹49.02,0.08%,2025-05-16
15508,Aditya Birla Sun Life Banking & PSU Debt FundBanking and PSU,9 yrs 1 m,₹380.03,0.15%,2025-05-16
40296,Baroda BNP Paribas Overnight FundOvernight,-,"₹1,351.39",0.02%,2025-05-18
34575,Union Largecap FundLarge Cap,4 yrs 5 m,₹24.69,0.08%,2025-05-16
16416,Invesco India Low Duration FundLow Duration,10 yrs,"₹3,912.46",0.07%,2025-05-16
15774,SBI Gold FundGold/ Precious Metals,4 yrs 1 m,₹28.7,0.92%,2025-05-16
16019,DSP Large Cap FundLarge Cap,4 yrs 3 m,₹516.06,0.1%,2025-05-16
15386,Aditya Birla Sun Life Floating Rate FundFloater,9 yrs 6 m,₹355.2,0.08%,2025-05-16
37627,UTI Corporate Bond FundCorporate Bond,-,₹16.73,0.14%,2025-05-16
17988,Bandhan Banking & PSU Debt FundBanking and PSU,9 yrs 6 m,₹25.25,0.1%,2025-05-16
35198,Axis Flexi Cap FundFlexi Cap,4 yrs 6 m,₹28.78,0.28%,2025-05-16
31286,HDFC Retirement Savings Fund - Hybrid Equity PlanRetirement Solutions,4 yrs 3 m,₹43.45,0.25%,2025-05-16
15676,HDFC Corporate Bond FundCorporate Bond,9 yrs 1 m,₹33.24,0.15%,2025-05-16
15790,HSBC Money Market FundMoney Market,9 yrs 11 m,₹27.48,0.04%,2025-05-16
40488,Quantum ESG Best In Class Strategy FundThematic-ESG,4 yrs 5 m,₹24.97,0.52%,2025-05-16
15842,HSBC Infrastructure FundSectoral-Infrastructure,2 yrs 9 m,₹52.02,0.97%,2025-05-16
15906,Kotak Bond Short-term FundShort Duration,9 yrs 2 m,₹57.26,0.15%,2025-05-16
31281,HDFC Retirement Savings Fund - Equity PlanRetirement Solutions,3 yrs 10 m,₹56.82,0.17%,2025-05-16
40399,HSBC Overnight FundOvernight,-,"₹1,346.46",0.02%,2025-05-18
39064,ICICI Prudential India Opportunities FundThematic,2 yrs 9 m,₹38.32,0.21%,2025-05-16
39663,Aditya Birla Sun Life Retirement Fund - The 40s PlanRetirement Solutions,4 yrs 9 m,₹20.42,0.24%,2025-05-16
16477,Aditya Birla Sun Life Financial Planning FOF Aggressive PlanHybrid FoF,4 yrs 4 m,₹57.67,0.42%,2025-05-16
16130,Sundaram Dividend Yield FundDividend Yield,4 yrs,₹146.58,0.29%,2025-05-16
38318,Axis Growth Opportunities FundLarge & MidCap,4 yrs,₹34.84,0.46%,2025-05-16
16328,LIC MF Aggressive Hybrid FundAggressive Hybrid,4 yrs 7 m,₹219.5,0.09%,2025-05-16
39639,Invesco India Equity Savings FundEquity Savings,-,₹18.69,0.2%,2025-05-16
16247,Canara Robeco Ultra Short Term FundUltra Short Duration,10 yrs 10 m,"₹4,007.21",0.03%,2025-05-16
16922,Quant Large and Mid Cap FundLarge & MidCap,2 yrs 10 m,₹125.86,0.48%,2025-05-16
30867,Tata Digital India FundSectoral-Technology,4 yrs 2 m,₹55,-0.48%,2025-05-16
12275,Quantum Gold Savings FundGold/ Precious Metals,4 yrs 1 m,₹36.02,1.16%,2025-05-16
28672,Motilal Oswal ELSS Tax Saver FundELSS,2 yrs 7 m,₹57.91,1.84%,2025-05-16
33738,Baroda BNP Paribas Arbitrage FundArbitrage,-,₹16.81,-0.01%,2025-05-16
16138,Mirae Asset Large Cap FundLarge Cap,4 yrs 5 m,₹125.28,0.23%,2025-05-16
15141,PGIM India Large Cap FundLarge Cap,4 yrs 6 m,₹399.69,-0.06%,2025-05-16
15641,HDFC Infrastructure FundSectoral-Infrastructure,2 yrs,₹51.79,0.62%,2025-05-16
15977,DSP India T.I.G.E.R. FundSectoral-Infrastructure,2 yrs 7 m,₹329.92,0.9%,2025-05-16
16446,Aditya Birla Sun Life Debt Plus Arbitrage FOFMedium to Long Duration,9 yrs 2 m,₹39.41,0.06%,2025-05-16
15826,HSBC Balanced Advantage FundDynamic Asset Allocation,5 yrs 1 m,₹49.35,-0.12%,2025-05-16
39671,Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt PlanRetirement Solutions,-,₹14.27,0.07%,2025-05-16
28970,SBI Banking & Financial Services FundSectoral-Banking,4 yrs,₹45.48,0.22%,2025-05-16
33827,LIC MF Midcap FundMid Cap,2 yrs 10 m,₹31.68,0.46%,2025-05-16
16426,Nippon India Low Duration FundLow Duration,9 yrs 10 m,"₹3,939.61",0.07%,2025-05-16
40143,Union Overnight FundOvernight,-,"₹1,354.54",0.02%,2025-05-18
20548,Edelweiss Banking and PSU Debt FundBanking and PSU,9 yrs,₹25.53,0.21%,2025-05-16
3196,Quantum Liquid FundLiquid,11 yrs 6 m,₹34.99,0.02%,2025-05-18
16345,Templeton India Equity Income FundDividend Yield,3 yrs 11 m,₹151.66,0.41%,2025-05-16
16469,SBI Short Term Debt FundShort Duration,9 yrs 6 m,₹34.02,0.14%,2025-05-16
16759,Sundaram Global Brand Theme - Equity Active FoFInternational,4 yrs 11 m,₹36.31,0.32%,2025-05-15
15435,ICICI Prudential Large & Mid Cap FundLarge & MidCap,2 yrs 10 m,"₹1,107.5",0.53%,2025-05-16
28798,Nippon India Retirement Fund - Wealth Creation SchemeRetirement Solutions,3 yrs 11 m,₹31.89,0.52%,2025-05-16
15913,Kotak Savings FundUltra Short Duration,10 yrs 2 m,₹44.55,0.04%,2025-05-16
16732,SBI Magnum Constant Maturity FundGilt with 10 year Constant Duration,8 yrs 7 m,₹66.82,0.1%,2025-05-16
38511,UTI Floater FundFloater,-,"₹1,557",0.07%,2025-05-16
16913,Edelweiss Aggressive Hybrid FundAggressive Hybrid,3 yrs 11 m,₹71.83,0.22%,2025-05-16
19589,Edelweiss US Value Equity Offshore FundInternational,4 yrs 6 m,₹34.73,0.89%,2025-05-16
15426,ICICI Prudential Exports and Services FundThematic,3 yrs 9 m,₹175.95,0.17%,2025-05-16
15622,HDFC Balanced Advantage FundDynamic Asset Allocation,3 yrs 8 m,₹555.12,0.29%,2025-05-16
28190,Aditya Birla Sun Life Equity Savings FundEquity Savings,8 yrs 3 m,₹24.04,0.04%,2025-05-16
16274,Tata Money Market FundMoney Market,11 yrs,"₹4,774.84",0.04%,2025-05-16
30202,Axis Equity Savings FundEquity Savings,5 yrs 1 m,₹24.76,0.04%,2025-05-16
15367,Aditya Birla Sun Life Liquid FundLiquid,10 yrs 10 m,₹422.59,0.02%,2025-05-18
27188,DSP Income Plus Arbitrage FoFOthers,7 yrs 10 m,₹22.43,0.1%,2025-05-16
17081,SBI Consumption Opportunities FundThematic-Consumption,3 yrs 8 m,₹353.71,0.41%,2025-05-16
15570,Franklin India Prima FundMid Cap,2 yrs 10 m,"₹3,020.13",0.89%,2025-05-16
23456,UTI Banking & PSU FundBanking and PSU,10 yrs 1 m,₹22.2,0.14%,2025-05-16
35256,HDFC Housing Opportunities FundThematic,2 yrs 10 m,₹23.8,0.85%,2025-05-16
15992,DSP Short-term FundShort Duration,9 yrs 7 m,₹50.45,0.13%,2025-05-16
30666,PGIM India ELSS Tax Saver FundELSS,4 yrs,₹39.59,0.23%,2025-05-16
16543,DSP Regular Savings FundConservative Hybrid,8 yrs 9 m,₹65.72,0.1%,2025-05-16
15730,Sundaram Consumption FundThematic-Consumption,3 yrs 11 m,₹106.25,0.32%,2025-05-16
15834,Bank of India Large & Mid Cap Equity FundLarge & MidCap,4 yrs,₹97.79,0.17%,2025-05-16
15578,HDFC Low Duration FundLow Duration,9 yrs 8 m,₹62.17,0.06%,2025-05-16
24791,Kotak Medium Term FundMedium Duration,9 yrs 1 m,₹25.16,0.15%,2025-05-16
33985,Bandhan Credit Risk FundCredit Risk,-,₹17.76,0.08%,2025-05-16
25384,HSBC Multi Asset Active FoFHybrid FoF,4 yrs 6 m,₹36.99,0.33%,2025-05-16
15450,Aditya Birla Sun Life Focused FundFocused,4 yrs 3 m,₹157.82,-0.18%,2025-05-16
16925,Quant Small Cap FundSmall Cap,2 yrs 8 m,₹270.63,0.92%,2025-05-16
15408,ICICI Prudential Bluechip FundLarge Cap,3 yrs 11 m,₹119.97,-0.01%,2025-05-16
16084,Sundaram Aggressive Hybrid FundAggressive Hybrid,4 yrs 5 m,₹183.63,0.01%,2025-05-16
16653,Aditya Birla Sun Life Global Emerging Opportunities FundInternational,5 yrs 1 m,₹27.16,0.7%,2025-05-15
16695,Kotak Equity Arbitrage FundArbitrage,10 yrs 8 m,₹39.69,-0.04%,2025-05-16
40719,Motilal Oswal Nifty Midcap 150 Index FundMid Cap Index,2 yrs 10 m,₹37.79,0.86%,2025-05-16
15831,HSBC Aggressive Hybrid FundAggressive Hybrid,4 yrs 6 m,₹60.53,0.6%,2025-05-16
15487,UTI Mid Cap FundMid Cap,4 yrs,₹322.32,0.73%,2025-05-16
16289,Invesco India Money Market FundMoney Market,10 yrs 4 m,"₹3,128.03",0.04%,2025-05-16
40582,Parag Parikh ELSS Tax Saver FundELSS,3 yrs 10 m,₹33.77,0.38%,2025-05-16
15503,ICICI Prudential Banking and Financial Services FundSectoral-Banking,4 yrs,₹148.19,0.17%,2025-05-16
16633,Bandhan Bond Fund Short Term PlanShort Duration,9 yrs 6 m,₹61,0.15%,2025-05-16
15292,Aditya Birla Sun Life Low Duration FundLow Duration,9 yrs 6 m,₹721.84,0.07%,2025-05-16
16402,Invesco India Short Duration FundShort Duration,9 yrs 8 m,"₹3,923.7",0.15%,2025-05-16
15528,ICICI Prudential Liquid FundLiquid,10 yrs 11 m,₹387.39,0.02%,2025-05-18
16398,Nippon India Income FundMedium to Long Duration,8 yrs 10 m,₹100.9,0.14%,2025-05-16
26665,Edelweiss Arbitrage FundArbitrage,10 yrs 6 m,₹20.61,-0.02%,2025-05-16
15621,Nippon India Power & Infra FundSectoral-Infrastructure,2 yrs 1 m,₹369.77,1%,2025-05-16
22048,Aditya Birla Sun Life Banking & Financial Services FundSectoral-Banking,4 yrs 1 m,₹67.04,0.16%,2025-05-16
16163,Canara Robeco Consumer Trends FundThematic-Consumption,3 yrs 11 m,₹124.64,0.26%,2025-05-16
15651,Sundaram Medium Duration FundMedium Duration,10 yrs 6 m,₹77.09,0.08%,2025-05-16
16494,Aditya Birla Sun Life Financial Planning FOF Moderate PlanHybrid FoF,4 yrs 7 m,₹44.58,0.41%,2025-05-16
40630,Canara Robeco Overnight FundOvernight,-,"₹1,328.91",0.02%,2025-05-18
39296,Canara Robeco Small Cap FundSmall Cap,3 yrs 8 m,₹41.3,1.08%,2025-05-16
16267,Bandhan Bond Fund Income PlanMedium to Long Duration,9 yrs 8 m,₹71.24,0.1%,2025-05-16
15413,Aditya Birla Sun Life Infrastructure FundSectoral-Infrastructure,2 yrs 9 m,₹101.15,0.76%,2025-05-16
27211,Nippon India Japan Equity FundInternational,7 yrs 8 m,₹22.13,-0.15%,2025-05-16
15767,HSBC ELSS Tax saver FundELSS,2 yrs 10 m,₹143.01,0.55%,2025-05-16
15856,HSBC Large Cap FundLarge Cap,4 yrs 5 m,₹516.41,-0.1%,2025-05-16
16567,Nippon India Arbitrage FundArbitrage,10 yrs 7 m,₹28.43,-0.04%,2025-05-16
15625,HDFC Medium Term Debt FundMedium Duration,9 yrs,₹60.99,0.14%,2025-05-16
15811,SBI Long Term Equity FundELSS,2 yrs 9 m,₹465.78,0.28%,2025-05-16
19232,Parag Parikh Flexi Cap FundFlexi Cap,3 yrs 10 m,₹90.29,0.33%,2025-05-16
14642,Quantum Multi Asset Fund of FundsHybrid FoF,5 yrs 1 m,₹34.44,0.23%,2025-05-16
16292,Tata Large Cap FundLarge Cap,4 yrs 3 m,₹570.33,0.1%,2025-05-16
16077,Bandhan Infrastructure FundSectoral-Infrastructure,2 yrs,₹58.38,0.88%,2025-05-16
37170,Navi Flexi Cap FundFlexi Cap,4 yrs 3 m,₹25.34,0.4%,2025-05-16
17396,Bandhan Income Plus Arbitrage FoFMedium Duration,9 yrs 7 m,₹45.74,0.07%,2025-05-16
16095,Sundaram Liquid FundLiquid,11 yrs,"₹2,312.55",0.02%,2025-05-18
15336,Aditya Birla Sun Life Nifty 50 Index FundLarge Cap Index,4 yrs 5 m,₹257.32,-0.12%,2025-05-16
16127,JM Low Duration FundLow Duration,10 yrs 8 m,₹37.8,0.06%,2025-05-16
17386,Franklin India Debt Hybrid FundConservative Hybrid,8 yrs 4 m,₹99.1,0.15%,2025-05-16
39533,ICICI Prudential Retirement Fund - Pure Equity PlanRetirement Solutions,2 yrs 10 m,₹34.06,0.68%,2025-05-16
15731,HDFC Large Cap FundLarge Cap,4 yrs,"₹1,222.61",-0.02%,2025-05-16
15308,Aditya Birla Sun Life Flexi Cap FundFlexi Cap,4 yrs 1 m,"₹1,971.01",0.24%,2025-05-16
26749,Axis Credit Risk FundCredit Risk,9 yrs 1 m,₹23.78,0.11%,2025-05-16
16374,Invesco India Multicap FundMulti Cap,2 yrs 10 m,₹152.98,0.41%,2025-05-16
16786,Sundaram Conservative Hybrid FundConservative Hybrid,8 yrs 10 m,₹32.81,-0.03%,2025-05-16
34479,Mahindra Manulife Multi Cap FundMulti Cap,2 yrs 10 m,₹39.7,0.64%,2025-05-16
16725,SBI Magnum Gilt FundGilt,8 yrs 7 m,₹71.03,0.19%,2025-05-16
16934,Quant Mid Cap FundMid Cap,2 yrs 10 m,₹245.97,0.47%,2025-05-16
30103,Mirae Asset Aggressive Hybrid FundAggressive Hybrid,4 yrs 5 m,₹36.82,0.19%,2025-05-16
39551,ICICI Prudential Retirement Fund - Pure Debt PlanRetirement Solutions,-,₹16.32,0.1%,2025-05-16
25653,HSBC Small Cap FundSmall Cap,2 yrs 10 m,₹87.05,1.31%,2025-05-16
16343,Invesco India Liquid FundLiquid,10 yrs 11 m,"₹3,592.23",0.02%,2025-05-18
16675,ICICI Prudential Smallcap FundSmall Cap,3 yrs 10 m,₹93.89,0.95%,2025-05-16
15382,ICICI Prudential Equity & Debt FundAggressive Hybrid,3 yrs 8 m,₹429.91,0.24%,2025-05-16
21891,PGIM India Midcap Opportunities FundMid Cap,4 yrs,₹72.01,0.42%,2025-05-16
16617,HSBC Conservative Hybrid FundConservative Hybrid,8 yrs 1 m,₹68.27,0.2%,2025-05-16
31779,Sundaram Arbitrage FundArbitrage,-,₹15.1,-0.02%,2025-05-16
16796,Sundaram Banking & PSU FundBanking and PSU,10 yrs 3 m,₹43.58,0.15%,2025-05-16
17079,SBI Magnum COMMA FundThematic,4 yrs 2 m,₹110.25,0.26%,2025-05-16
16366,Bank of India ELSS Tax Saver FundELSS,3 yrs 11 m,₹184.39,1.24%,2025-05-16
15522,UTI Transportation and Logistics FundThematic,2 yrs 10 m,₹294.17,0.7%,2025-05-16
16965,ICICI Prudential Asset Allocator Fund (FOF)Hybrid FoF,4 yrs 6 m,₹131.36,0.17%,2025-05-16
15546,Franklin Build India FundSectoral-Infrastructure,2 yrs 1 m,₹158.62,0.31%,2025-05-16
15981,DSP Ultra Short FundUltra Short Duration,10 yrs 7 m,"₹3,672.09",0.03%,2025-05-16
16537,Bank of India Ultra Short Duration FundUltra Short Duration,10 yrs 4 m,"₹3,244.81",0.03%,2025-05-16
15909,Kotak Dynamic Bond FundDynamic Bond,8 yrs 8 m,₹41.19,0.16%,2025-05-16
16282,Invesco India Contra FundContra,2 yrs 10 m,₹155.36,0.5%,2025-05-16
38994,Motilal Oswal Liquid FundLiquid,-,₹13.84,0.03%,2025-05-18
16723,ICICI Prudential Debt Management Fund (FOF)Medium Duration,9 yrs 2 m,₹46.69,0.1%,2025-05-16
